af-za|af
ar-sa|ar
az-latn-az|az
be-by|be
bg-bg|bg
ca-es|ca
cs-cz|cs
da-dk|da
de-de|de
dv-mv|dv
el-gr|el
en-us|en
es-es|es
et-ee|et
eu-es|eu
fa-ir|fa
fi-fi|fi
fo-fo|fo
fr-fr|fr
gl-es|gl
gu-in|gu
he-il|he
hi-in|hi
hr-hr|hr
hu-hu|hu
hy-am|hy
id-id|id
is-is|is
it-it|it
ja-jp|ja
ka-ge|ka
kk-kz|kk
kn-in|kn
ko-kr|ko
kok-in|ko
ky-kg|ky
lt-lt|lt
lv-lv|lv
mk-mk|mk
mn-mn|mn
mr-in|mr
ms-my|ms
nl-nl|nl
nb-no|no
pa-in|pa
pl-pl|pl
pt-br|pt
ro-ro|ro
ru-ru|ru
sa-in|sa
sk-sk|sk
sl-si|sl
sq-al|sq
sr-latn-cs|sr
sv-se|sv
sw-ke|sw
syr-sy|sy
ta-in|ta
te-in|te
th-th|th
tr-tr|tr
tt-ru|tt
uk-ua|uk
ur-pk|ur
uz-latn-uz|uz
vi-vn|vi
zh-tw|zh-Hant
zh-cn|zh-Hans
